uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
uniqueid_5776,No,Rural,No,2.0,24,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_782,No,Urban,No,2.0,59,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_422,No,Urban,Yes,2.0,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1641,Yes,Rural,Yes,7.0,63,Male,Head of Household,Single/Never Married,Primary education,Government Dependent
uniqueid_267,No,Urban,Yes,2.0,47,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_70,No,Urban,Yes,,42,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
uniqueid_3860,No,Rural,No,,19,Male,Other relative,Divorced/Seperated,Primary education,No Income
uniqueid_1366,Yes,Urban,Yes,3.0,57,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_1644,No,Urban,No,3.0,55,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_1831,No,Urban,Yes,,38,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_6182,No,Urban,Yes,3.0,57,Female,Spouse,Single/Never Married,Primary education,Other Income
uniqueid_3519,Yes,Rural,Yes,3.0,55,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_3235,No,Urban,Yes,,30,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
uniqueid_5562,No,Rural,Yes,2.0,25,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
uniqueid_6013,No,Urban,Yes,2.0,36,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3142,No,Rural,Yes,,35,Female,Parent,Widowed,No formal education,Self employed
uniqueid_502,No,Urban,Yes,11.0,16,Male,Other relative,Divorced/Seperated,Primary education,Self employed
uniqueid_2211,No,Urban,Yes,4.0,24,Female,Other relative,Single/Never Married,Primary education,Informally employed
uniqueid_590,No,Urban,No,4.0,30,Female,Parent,Divorced/Seperated,Primary education,Informally employed
uniqueid_1428,No,Rural,Yes,2.0,35,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4689,No,Urban,Yes,2.0,30,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5115,No,Urban,No,2.0,78,Female,Head of Household,Single/Never Married,No formal education,Remittance Dependent
uniqueid_5568,No,Urban,Yes,2.0,60,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_4078,Yes,Rural,Yes,1.0,55,Male,Head of Household,Widowed,Tertiary education,Informally employed
uniqueid_3450,No,Urban,Yes,2.0,43,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_381,No,Rural,Yes,2.0,32,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_6391,No,Urban,No,1.0,46,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_6451,No,Rural,Yes,5.0,40,Female,Other relative,Married/Living together,Primary education,Self employed
uniqueid_242,No,Urban,Yes,2.0,44,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_927,No,Urban,No,,43,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_5184,No,Rural,No,,28,Female,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_3111,No,Urban,No,3.0,30,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4670,No,Urban,No,2.0,34,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4645,No,Urban,Yes,1.0,80,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_5322,No,Urban,Yes,3.0,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1759,No,Urban,No,1.0,87,Female,Head of Household,Widowed,No formal education,No Income
uniqueid_2425,No,Rural,Yes,2.0,70,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_194,No,Rural,No,1.0,45,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_1441,No,Urban,No,,19,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1503,No,Urban,No,2.0,20,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4093,No,Urban,No,1.0,70,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_5383,No,Urban,Yes,2.0,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3141,No,Urban,Yes,1.0,19,Male,Head of Household,Divorced/Seperated,Secondary education,Self employed
uniqueid_915,No,Urban,No,2.0,70,Female,Other relative,Widowed,No formal education,Self employed
uniqueid_5557,No,Urban,Yes,,23,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_4941,No,Urban,Yes,3.0,60,Female,Head of Household,Widowed,Primary education,Remittance Dependent
uniqueid_2164,No,Urban,No,2.0,35,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6254,No,Rural,Yes,1.0,24,Female,Head of Household,Single/Never Married,Primary education,No Income
uniqueid_5134,No,Rural,No,2.0,41,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_4310,No,Urban,No,,35,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_1734,No,Urban,Yes,5.0,23,Female,Parent,Single/Never Married,Primary education,Self employed
uniqueid_3203,Yes,Rural,Yes,,39,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed
uniqueid_3172,No,Urban,Yes,2.0,38,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
uniqueid_5029,Yes,Rural,Yes,4.0,46,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_3236,No,Urban,Yes,1.0,32,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_2835,No,Urban,No,3.0,27,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1054,No,Urban,Yes,1.0,27,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_2326,No,Rural,Yes,1.0,48,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private
uniqueid_1928,No,Urban,Yes,1.0,25,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
uniqueid_347,No,Urban,Yes,1.0,31,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1958,No,Urban,Yes,2.0,17,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_1843,No,Rural,Yes,1.0,28,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_5332,No,Rural,Yes,1.0,48,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_5012,No,Urban,Yes,3.0,75,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_774,No,Urban,Yes,2.0,28,Female,Parent,Divorced/Seperated,No formal education,Self employed
uniqueid_6467,No,Urban,Yes,1.0,85,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_2633,No,Urban,No,7.0,22,Male,Child,Divorced/Seperated,Secondary education,Informally employed
uniqueid_351,No,Urban,No,8.0,27,Female,Other relative,Widowed,No formal education,Remittance Dependent
uniqueid_4795,No,Urban,Yes,1.0,42,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_3266,No,Urban,No,2.0,30,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_4591,No,Urban,Yes,3.0,27,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_6561,No,Urban,Yes,1.0,69,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_4905,No,Urban,No,4.0,39,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_3548,No,Urban,Yes,3.0,30,Female,Child,Single/Never Married,Primary education,Self employed
uniqueid_5358,No,Urban,No,4.0,70,Male,Child,Widowed,Primary education,Informally employed
uniqueid_161,No,Urban,Yes,1.0,25,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2396,No,Urban,Yes,2.0,29,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6430,No,Urban,No,1.0,60,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_3406,No,Urban,No,3.0,28,Male,Parent,Married/Living together,No formal education,Self employed
uniqueid_3514,No,Rural,Yes,2.0,67,Female,Spouse,Single/Never Married,No formal education,Remittance Dependent
uniqueid_4960,No,Rural,No,1.0,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3140,No,Urban,No,1.0,67,Female,Head of Household,Widowed,No formal education,Government Dependent
uniqueid_13,No,Urban,No,2.0,22,Female,Spouse,Single/Never Married,Secondary education,No Income
uniqueid_678,No,Rural,Yes,3.0,23,Female,Parent,Divorced/Seperated,Tertiary education,Self employed
uniqueid_4194,No,Urban,Yes,,34,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4293,No,Rural,Yes,2.0,21,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_360,No,Urban,No,2.0,25,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_1787,No,Rural,Yes,2.0,37,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4581,Yes,Rural,Yes,1.0,34,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_4462,No,Urban,Yes,2.0,34,Female,Spouse,Single/Never Married,Vocational/Specialised training,Self employed
uniqueid_82,No,Urban,No,2.0,31,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_3269,No,Rural,No,2.0,23,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_3294,No,Urban,Yes,2.0,36,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_1772,No,Urban,No,2.0,36,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5069,No,Urban,No,,40,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_6400,No,Urban,Yes,1.0,43,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3586,No,Rural,No,,58,Female,Head of Household,Widowed,No formal education,Informally employed
uniqueid_2741,No,Urban,No,3.0,20,Female,Parent,Divorced/Seperated,Primary education,No Income
uniqueid_6237,Yes,Rural,Yes,2.0,32,Female,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_5248,No,Urban,No,,61,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_6338,No,Urban,No,5.0,21,Male,Parent,Single/Never Married,Primary education,Self employed
uniqueid_835,No,Rural,Yes,4.0,25,Female,Head of Household,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_2601,No,Urban,Yes,2.0,39,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6117,No,Rural,Yes,2.0,33,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_3939,No,Rural,Yes,2.0,28,Female,Spouse,Single/Never Married,Tertiary education,Informally employed
uniqueid_4107,No,Urban,No,2.0,50,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_1407,No,Rural,Yes,5.0,33,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1810,No,Urban,Yes,2.0,32,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6019,No,Rural,Yes,4.0,45,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_952,No,Urban,No,3.0,45,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2811,No,Urban,No,2.0,36,Female,Spouse,Single/Never Married,No formal education,Informally employed
uniqueid_5174,No,Urban,Yes,2.0,54,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2985,No,Urban,Yes,2.0,49,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3439,No,Urban,Yes,3.0,20,Female,Parent,Divorced/Seperated,Tertiary education,No Income
uniqueid_1060,No,Urban,Yes,3.0,47,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_2285,Yes,Rural,Yes,2.0,26,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_5655,No,Urban,Yes,2.0,50,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5047,No,Rural,Yes,2.0,27,Female,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_1033,No,Rural,No,2.0,36,Female,Spouse,Single/Never Married,No formal education,Remittance Dependent
uniqueid_228,No,Rural,Yes,,48,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_1499,Yes,Rural,Yes,,23,Male,Head of Household,Divorced/Seperated,Tertiary education,Self employed
uniqueid_1241,No,Urban,No,3.0,24,Female,Parent,Single/Never Married,Primary education,Self employed
uniqueid_3676,No,Urban,No,,40,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_3778,No,Rural,Yes,,58,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_4565,No,Urban,No,1.0,82,Male,Head of Household,Widowed,Primary education,Self employed
uniqueid_2420,No,Urban,Yes,,41,Male,Parent,Single/Never Married,No formal education,Self employed
uniqueid_3481,No,Urban,No,4.0,16,Female,Other relative,Divorced/Seperated,Secondary education,Remittance Dependent
uniqueid_1064,No,Rural,Yes,4.0,19,Female,Head of Household,Divorced/Seperated,No formal education,Self employed
uniqueid_2311,Yes,Rural,Yes,3.0,25,Female,Other relative,Divorced/Seperated,Primary education,Informally employed
uniqueid_5989,No,Urban,Yes,2.0,42,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_588,Yes,Rural,Yes,3.0,33,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed
uniqueid_2199,No,Rural,Yes,,43,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5992,Yes,Rural,Yes,1.0,31,Female,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Private
uniqueid_6384,No,Urban,No,2.0,22,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_3364,No,Rural,No,2.0,18,Female,Other relative,Divorced/Seperated,Vocational/Specialised training,Remittance Dependent
uniqueid_3155,No,Urban,Yes,5.0,46,Female,Spouse,Single/Never Married,Secondary education,Self employed
uniqueid_2809,No,Urban,Yes,2.0,34,Female,Parent,Married/Living together,Primary education,Self employed
uniqueid_5744,No,Rural,Yes,2.0,17,Female,Other relative,Divorced/Seperated,Primary education,Remittance Dependent
uniqueid_5421,No,Urban,Yes,2.0,45,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4791,No,Rural,Yes,2.0,26,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_2269,No,Urban,No,2.0,28,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_4805,No,Urban,Yes,1.0,60,Female,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_4770,No,Urban,No,2.0,67,Male,Spouse,Single/Never Married,Primary education,Self employed
